district,accidents,deaths,grievous,minor,helmet_deaths,hotspots_identified,hotspots_funded,fund_amount_lakhs,hotspots_unfunded
Ariyalur,297,107,342,1842,7,81,28,95.2,53
Chengalpattu,1834,397,5292,7074,42,128,44,292.48,84
Chennai City,1982,231,6372,6600,,175,0,0,175
Coimbatore,1795,485,4722,5742,50,291,94,266.49,197
Cuddalore,1647,283,1692,10896,32,145,53,174.43648,92
Dharmapuri,771,182,1074,4812,18,187,48,243.05,139
Dindigul,1187,341,978,7062,30,191,127,405.52881,64
Erode,1206,301,3318,4464,32,216,72,397.03808,144
Kallakurichi,676,146,234,3954,20,64,29,230,35
Kancheepuram,637,158,1266,3276,27,73,22,219.1,51
Kanniyakumari,665,131,1530,2688,,97,35,327.16,62
Karur,606,202,726,3378,11,211,67,149.96,144
Krishnagiri,993,259,570,5574,33,88,6,14.05,82
Madurai,1175,403,990,5112,32,386,158,473.20082,228
Mayiladuthurai,327,57,18,2502,7,90,42,173.94,48
Nagapattinam,271,73,468,990,4,89,42,197.54,47
Namakkal,1076,264,2250,4446,19,155,90,318.07063,65
Perambalur,294,95,168,2196,17,91,3,13.36,88
Pudukkottai,787,179,606,4302,,178,71,412.21,107
Ramanathapuram,567,161,462,3792,11,85,41,261.9,44
Ranipet,502,152,744,2880,16,47,31,177.34085,16
Salem,1626,399,2328,7044,36,306,101,549.89557,205
Sivagangai,613,225,306,3636,16,142,22,78.22,120
Tenkasi,513,119,252,3846,6,98,36,72.62,62
Thanjavur,1155,277,882,6762,27,115,42,155.5,73
The Nilgiris,125,24,414,1056,1,90,21,51.69,69
Theni,618,182,504,4206,15,158,82,80.06893,76
Thiruvallur,1282,297,2136,6102,47,248,88,1200,160
Thiruvarur,414,125,312,2118,12,64,32,88.45,32
Thoothukudi,735,241,252,4788,14,70,61,101.46,9
Tiruchirapalli,1165,386,408,8094,23,243,5,123.82,238
Tirunelveli,714,180,852,3708,13,119,27,89.97,92
Tirupathur,371,102,228,2610,,48,17,28.61,31
Tiruppur,1564,417,3012,6150,,692,236,712.35,456
Tiruvannamalai,1108,362,1134,5742,34,65,17,76,48
Vellore,601,188,504,3366,17,99,28,64.53,71
Villupuram,1513,271,1980,8814,25,270,80,195.195,190
Virudhunagar,784,250,1368,3528,20,270,95,526.35242,175
