district,year,month,accidents,deaths,grievous_injuries,minor_injuries
Ariyalur,2025,January,43,17,57,307
Ariyalur,2025,February,44,10,57,307
Ariyalur,2025,March,54,20,57,307
Ariyalur,2025,April,43,14,57,307
Ariyalur,2025,May,55,24,57,307
Ariyalur,2025,June,58,22,57,307
Chengalpattu,2025,January,324,67,882,1179
Chengalpattu,2025,February,312,59,882,1179
Chengalpattu,2025,March,351,79,882,1179
Chengalpattu,2025,April,322,68,882,1179
Chengalpattu,2025,May,278,62,882,1179
Chengalpattu,2025,June,247,62,882,1179
Chennai City,2025,January,336,36,1062,1100
Chennai City,2025,February,315,35,1062,1100
Chennai City,2025,March,355,43,1062,1100
Chennai City,2025,April,337,46,1062,1100
Chennai City,2025,May,328,41,1062,1100
Chennai City,2025,June,311,30,1062,1100
Coimbatore,2025,January,330,75,787,957
Coimbatore,2025,February,286,84,787,957
Coimbatore,2025,March,313,92,787,957
Coimbatore,2025,April,302,79,787,957
Coimbatore,2025,May,286,76,787,957
Coimbatore,2025,June,278,79,787,957
Cuddalore,2025,January,263,52,282,1816
Cuddalore,2025,February,285,68,282,1816
Cuddalore,2025,March,261,31,282,1816
Cuddalore,2025,April,289,40,282,1816
Cuddalore,2025,May,267,37,282,1816
Cuddalore,2025,June,282,55,282,1816
Dharmapuri,2025,January,129,35,179,802
Dharmapuri,2025,February,140,28,179,802
Dharmapuri,2025,March,136,34,179,802
Dharmapuri,2025,April,126,24,179,802
Dharmapuri,2025,May,108,27,179,802
Dharmapuri,2025,June,132,34,179,802
Dindigul,2025,January,175,44,163,1177
Dindigul,2025,February,190,73,163,1177
Dindigul,2025,March,193,63,163,1177
Dindigul,2025,April,200,65,163,1177
Dindigul,2025,May,213,61,163,1177
Dindigul,2025,June,216,35,163,1177
Erode,2025,January,203,62,553,744
Erode,2025,February,201,51,553,744
Erode,2025,March,217,50,553,744
Erode,2025,April,203,51,553,744
Erode,2025,May,188,47,553,744
Erode,2025,June,194,40,553,744
Kallakurichi,2025,January,122,27,39,659
Kallakurichi,2025,February,112,33,39,659
Kallakurichi,2025,March,108,18,39,659
Kallakurichi,2025,April,106,19,39,659
Kallakurichi,2025,May,109,22,39,659
Kallakurichi,2025,June,119,27,39,659
Kancheepuram,2025,January,109,24,211,546
Kancheepuram,2025,February,110,30,211,546
Kancheepuram,2025,March,123,25,211,546
Kancheepuram,2025,April,97,26,211,546
Kancheepuram,2025,May,93,27,211,546
